编号,要素组,因素,操作定义,统计单位与范围,应输出统计,全量结果,完成状态,用途与限制,来源
A01,覆盖,序列与扫描数量,每条公开val完整读取；不按异常出现时刻裁剪,原始帧/序列,总帧数、首末帧号、文件完整性,"19条序列、8,659帧；首末帧与文件计数完整",全量统计完成,帧数不等于独立场景数,summary.json；A01
A02,覆盖,有效观测与零坐标槽,原始槽数、xyz非全零回波数及忽略标签数分别统计,原始帧/原始点,逐帧分位数、各类点数、占比,"原始槽1,134,952,448；回波987,807,187；零槽147,145,261；忽略243,679,266",全量统计完成,只知全局总量；不能把零槽当正常回波,summary.json；A02
A03,状态,当前帧无异常,当前帧全部实际可见回波中sem=2数量为零，不限距离,全部原始帧,每序列计数、比例、连续长度,"当前未见异常5,114/8,659；逐序列与连续段已保存",全量统计完成,这是无异常回波，不等于世界绝无异常物体,summary.json；A03
A04,状态,当前帧有异常但无范围内异常,有实际异常回波，但2.5–50米内异常点为零,全部原始帧,帧数、占比、首末时刻,仅范围外异常465帧；逐帧索引保留首末位置,全量统计完成,不应记成已观测范围内漏检,summary.json；A04
A05,状态,当前帧极少点与合格状态,范围内异常点数为1–4或≥5；两类分开,全部帧；完整五帧区间另报,帧数、占比、异常点数,"范围内1至4点1,120帧；至少5点1,960帧",全量统计完成,统计画像不能只保留官方合格帧,summary.json；A05
A06,状态,整窗无异常,五帧所有实际异常回波数量之和为零,t≥4完整窗口,每序列计数与占比,"整窗无异常4,355/8,583＝50.740%",全量统计完成,生成正常训练窗口配比的直接参考,summary.json；A06
B01,几何,异常点数分布,当前帧范围内异常点数；全距离数量另列,帧；实例统计另列,0、1–4、5–19、20–99、100–499、≥500,全帧范围内点数分位数为0、0、0、3、55；完整窗口及所有零点状态保留,全量统计完成,每帧异常总数不等于每个物体点数,summary.json；B01
B02,几何,异常距离分布,逐点真实距离及每帧异常距离中位数,点/帧/序列分别汇总,范围内四距离组；范围外单列；分位数,"90,739异常回波；范围内90,094；逐点与每帧中位数分别统计",全量统计完成,中位数相近不等于逐点距离分布相同,summary.json；B02
B03,几何,点数×距离联合覆盖,沿用已有4×4网格，不合格状态另报,t≥4官方合格帧,每格帧数、异常点数、序列数及占比,"16格原始复核一致；1,956帧、87,398异常点；零覆盖格保留",全量统计完成,7格真实无数据不等于现实不可能,summary.json；B03
B04,几何,位置与方位,异常点/可见实例在当前LiDAR坐标中的xyz与角度,当前点/实例/序列,高度、方位、俯仰的分位数及固定分箱,全部异常点的原始坐标、方位和俯仰已统计；角度为弧度,全量统计完成,不可将传感器高度直接当离地高度,summary.json；B04
B05,几何,可见实例数与尺寸,以有效实例标签分组；统一用可见点估计尺寸,实例×帧,实例数；长宽高、比例、有效点数,"30个发布正实例标识；4,729条实例×帧；1,611条可估计可见跨度；1点身份未确认",已统计；不足支持者留空,无有效实例ID标不可判定，不自动聚成一个物体,summary.json；B05
B06,几何,局部形态与采样疏密,可见异常邻距、固定半径邻居数、局部形态,点/实例×帧,分位数、估计失败率、点数条件,同实例最近邻距、0.25米邻居数及可见点集形态已统计；点数不足明确缺失,已统计；不足支持者留空,稀疏估计须记录样本数，不将缺测填零,summary.json；B06
B07,几何,扫描角度覆盖与缺口,异常回波方位/俯仰跨度及角度间隙,实例×帧/序列,分位数、缺口分布,"1,611条实例×帧的可见角度跨度和最大内部方位间隙；不推断真实遮挡率",已统计；不足支持者留空,未经光束校准仅报角度，不伪造beam/ring ID,summary.json；B07
C01,强度,逐点强度,正常/异常/忽略分开；保留原值,原始点；每帧只统计一次,P5/P25/P50/P75/P95、直方图、极值,"正常744,037,182、异常90,739、忽略243,679,266点；精确取值计数合并分位数",全量统计完成,子集不能推广为全部19条分布,summary.json；C01
C02,强度,离散网格、零值与边界,实测float32(k/3500)关系、重复值和边界堆积,原始点,精确网格率、零值率、极值与计数,三类所有回波均精确落在float32(k/3500)网格；强度零值为0；极值计数与重复值单列,全量统计完成,不是官方硬件量化规格；不对输入吸附,summary.json；C02
C03,强度,强度×逐点距离,按源帧自身距离分段比较强度,原始点×距离组,正常/异常条件分位数与覆盖,按源扫描距离每2.5米分组至50米，超过50米另列；各组正常/异常/忽略分别统计,全量统计完成,均值离开离散网格不算格式错误,summary.json；C03
