因素,组,因素或联合条件,206训练,201合成验证,真实开发,覆盖与可靠性,差异类型,可调整环节,解释边界
A01,覆盖,序列与扫描数量,原始背景序列1；版本8；世界或序列128；帧3592；完整窗3080,原始背景序列1；版本4；世界或序列92；帧2728；完整窗2360,原始背景序列19；版本不适用；世界或序列19；帧8659；完整窗8583,全帧3592/2728/8659；完整窗3080/2360/8583；合成等权单位为世界，真实为序列，非独立道路配对,固定背景限制,增加世界数不能增加原始道路数,帧数不等于独立场景数
A02,覆盖,有效观测与零坐标槽,实际回波数(全部): P5/P25/P50/P75/P95=118880/123532/126363/126911/128777；有效3592/3592，3592帧，128世界或序列；忽略点占回波比例(全部): P5/P25/P50/P75/P95=0.00555934/0.00812532/0.0113464/0.0180036/0.114639；有效3592/3592，3592帧，128世界或序列,实际回波数(全部): P5/P25/P50/P75/P95=102527/111017/116203/119035/122603；有效2728/2728，2728帧，92世界或序列；忽略点占回波比例(全部): P5/P25/P50/P75/P95=0.03078/0.0783645/0.225575/0.591527/0.99481；有效2728/2728，2728帧，92世界或序列,实际回波数(全部): P5/P25/P50/P75/P95=100210/111579/116092/118068/123344；有效8659/8659，8659帧，19世界或序列；忽略点占回波比例(全部): P5/P25/P50/P75/P95=0.0134516/0.0629445/0.122147/0.266652/0.961963；有效8659/8659，8659帧，19世界或序列,全帧3592/2728/8659；完整窗3080/2360/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,采样或观测过程；片段边界截断单列,零槽不作为实际回波；忽略点仍保留于完整输入
A03,状态,当前帧无异常,四态0=55/3592=1.531180%,四态0=38/2728=1.392962%,四态0=5114/8659=59.059938%,全帧3592/2728/8659；完整窗3080/2360/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,采样或观测过程；片段边界截断单列,这是无异常回波，不等于世界绝无异常物体
A04,状态,当前帧有异常但无范围内异常,四态1=30/3592=0.835189%,四态1=44/2728=1.612903%,四态1=465/8659=5.370135%,全帧3592/2728/8659；完整窗3080/2360/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,采样或观测过程；片段边界截断单列,不应记成已观测范围内漏检
A05,状态,当前帧极少点与合格状态,四态2=28/3592=0.779510%；四态3=3479/3592=96.854120%,四态2=39/2728=1.429619%；四态3=2607/2728=95.564516%,四态2=1120/8659=12.934519%；四态3=1960/8659=22.635408%,全帧3592/2728/8659；完整窗3080/2360/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,采样或观测过程；片段边界截断单列,统计画像不能只保留官方合格帧
A06,状态,整窗无异常,20/3080=0.649351%；覆盖5个世界或序列,10/2360=0.423729%；覆盖3个世界或序列,4355/8583=50.739835%；覆盖19个世界或序列,全帧3592/2728/8659；完整窗3080/2360/8583；合成等权单位为世界，真实为序列，非独立道路配对,已有覆盖但频率不匹配,采样或训练权重；保留异常条件覆盖,生成正常训练窗口配比的直接参考
B01,几何,异常点数分布,范围内异常点数(全部): P5/P25/P50/P75/P95=12/101/327/815/2224；有效3592/3592，3592帧，128世界或序列,范围内异常点数(全部): P5/P25/P50/P75/P95=5/39/192/565/2291；有效2728/2728，2728帧，92世界或序列,范围内异常点数(全部): P5/P25/P50/P75/P95=0/0/0/3/55；有效8659/8659，8659帧，19世界或序列,全帧3592/2728/8659；完整窗3080/2360/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,几何、放置或观测过程；先核对可靠性,每帧异常总数不等于每个物体点数
B02,几何,异常距离分布,逐点距离(全部): P5/P25/P50/P75/P95=0.305065/1.72008/4.97277/6.75521/10.1468；有效3124521/3124521，3537帧，128世界或序列；每帧全距离异常距离中位数(全部): P5/P25/P50/P75/P95=4.14412/5.90921/7.70588/9.75058/13.613；有效3537/3592，3537帧，128世界或序列,逐点距离(全部): P5/P25/P50/P75/P95=0.698976/3.68771/5.2261/7.39522/11.8456；有效1603621/1603621，2690帧，92世界或序列；每帧全距离异常距离中位数(全部): P5/P25/P50/P75/P95=3.97984/6.17165/8.41986/12.2229/36.3006；有效2690/2728，2690帧，92世界或序列,逐点距离(全部): P5/P25/P50/P75/P95=4.41734/5.51707/6.76092/10.6241/26.6418；有效90739/90739，3545帧，19世界或序列；每帧全距离异常距离中位数(全部): P5/P25/P50/P75/P95=5.66595/12.4045/23.7875/37.4498/66.5136；有效3545/8659，3545帧，19世界或序列,全帧3592/2728/8659；完整窗3080/2360/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,几何、放置或观测过程；先核对可靠性,中位数相近不等于逐点距离分布相同
B03,几何,点数×距离联合覆盖,合格帧3004；异常点2028165；覆盖格8/16,合格帧2278；异常点1207724；覆盖格14/16,合格帧1956；异常点87398；覆盖格9/16,全帧3592/2728/8659；完整窗3080/2360/8583；合成等权单位为世界，真实为序列，非独立道路配对,共同覆盖与空格并存，逐格判定,采样或世界生成；见联合条件对照,7格真实无数据不等于现实不可能
B04,几何,位置与方位,前向坐标(全部): P5/P25/P50/P75/P95=-5.79331/-0.917721/0.755759/4.99176/9.50315；有效3124521/3124521，3537帧，128世界或序列；方位角(全部): P5/P25/P50/P75/P95=-2.92631/-1.07328/-0.140654/0.907638/2.82899；有效3124521/3124521，3537帧，128世界或序列,前向坐标(全部): P5/P25/P50/P75/P95=-5.9309/-1.32117/1.48507/5.08017/9.91852；有效1603621/1603621，2690帧，92世界或序列；方位角(全部): P5/P25/P50/P75/P95=-2.65047/-1.14729/-0.220553/1.02503/2.94574；有效1603621/1603621，2690帧，92世界或序列,前向坐标(全部): P5/P25/P50/P75/P95=-17.3929/-5.13208/4.84226/7.46415/19.3366；有效90739/90739，3545帧，19世界或序列；方位角(全部): P5/P25/P50/P75/P95=-3.06157/-0.392151/-0.0550548/0.147615/2.78011；有效90739/90739，3545帧，19世界或序列,全帧3592/2728/8659；完整窗3080/2360/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,几何、放置或观测过程；先核对可靠性,不可将传感器高度直接当离地高度
