semantic,category,statistical_unit,frames_with_returns,returns_all,returns_2p5_50m,returns_with_instance,returns_without_instance,nonzero_instance_ids,instances,repeated_instances,single_frame_instances,cross_frame_assessment
0,未标注,excluded_label,449,1435077,429589,0,1435077,,0,0,0,保留原始标签计数，不作为正常结构实例
1,离群标签,excluded_label,449,314900,314838,0,314900,,0,0,0,保留原始标签计数，不作为正常结构实例
2,异常,not_observed,0,0,0,0,0,,0,0,0,本序列未观测到该类别，不能判断标注能力
10,汽车,annotated_instance,449,1486685,1486631,1486666,19,64;65;66;67;68;69;70;71;72;73;75;76;77;78;79;81;82;83;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114,43,43,0,按原始类别和非零编号关联；世界几何证据见 summary.json，未自动认证固定性
11,自行车,annotated_instance,118,596,596,596,0,1,1,1,0,按原始类别和非零编号关联；世界几何证据见 summary.json，未自动认证固定性
13,公共汽车,not_observed,0,0,0,0,0,,0,0,0,本序列未观测到该类别，不能判断标注能力
15,摩托车,annotated_instance,191,4042,3988,4042,0,5;6;7,3,3,0,按原始类别和非零编号关联；世界几何证据见 summary.json，未自动认证固定性
16,轨道车辆,not_observed,0,0,0,0,0,,0,0,0,本序列未观测到该类别，不能判断标注能力
18,卡车,annotated_instance,374,167418,167418,167418,0,4;5;6;7;8;9,6,6,0,按原始类别和非零编号关联；世界几何证据见 summary.json，未自动认证固定性
20,其他车辆,annotated_instance,190,24875,24875,24875,0,2,1,1,0,按原始类别和非零编号关联；世界几何证据见 summary.json，未自动认证固定性
30,行人,annotated_instance,357,13584,13575,13584,0,19;20;21;22;23,5,5,0,按原始类别和非零编号关联；世界几何证据见 summary.json，未自动认证固定性
31,骑自行车者,not_observed,0,0,0,0,0,,0,0,0,本序列未观测到该类别，不能判断标注能力
32,骑摩托车者,not_observed,0,0,0,0,0,,0,0,0,本序列未观测到该类别，不能判断标注能力
40,道路,uninstanced_semantic_points,449,9120296,9119316,0,9120296,,0,0,0,无物体身份；固定片区尚未定义，不能按整个类别当作一个物体
44,停车区域,not_observed,0,0,0,0,0,,0,0,0,本序列未观测到该类别，不能判断标注能力
48,人行道,uninstanced_semantic_points,449,822847,822367,0,822847,,0,0,0,无物体身份；固定片区尚未定义，不能按整个类别当作一个物体
49,其他地面,uninstanced_semantic_points,446,43899,43899,0,43899,,0,0,0,无物体身份；固定片区尚未定义，不能按整个类别当作一个物体
50,建筑,uninstanced_semantic_points,449,22823302,22735334,0,22823302,,0,0,0,无物体身份；固定片区尚未定义，不能按整个类别当作一个物体
51,围栏,uninstanced_semantic_points,449,3601654,3584456,0,3601654,,0,0,0,无物体身份；固定片区尚未定义，不能按整个类别当作一个物体
52,其他结构,uninstanced_semantic_points,449,123926,123926,0,123926,,0,0,0,无物体身份；固定片区尚未定义，不能按整个类别当作一个物体
60,车道标线,not_observed,0,0,0,0,0,,0,0,0,本序列未观测到该类别，不能判断标注能力
70,植被,uninstanced_semantic_points,449,11919302,11900778,0,11919302,,0,0,0,无物体身份；固定片区尚未定义，不能按整个类别当作一个物体
71,树干,uninstanced_semantic_points,449,1856054,1852577,0,1856054,,0,0,0,无物体身份；固定片区尚未定义，不能按整个类别当作一个物体
72,地形,uninstanced_semantic_points,449,789212,788135,0,789212,,0,0,0,无物体身份；固定片区尚未定义，不能按整个类别当作一个物体
80,杆状物,uninstanced_semantic_points,449,307292,306583,0,307292,,0,0,0,无物体身份；固定片区尚未定义，不能按整个类别当作一个物体
81,交通标志,uninstanced_semantic_points,449,177945,177891,0,177945,,0,0,0,无物体身份；固定片区尚未定义，不能按整个类别当作一个物体
99,其他物体,uninstanced_semantic_points,449,1150850,1150850,0,1150850,,0,0,0,无物体身份；固定片区尚未定义，不能按整个类别当作一个物体
252,运动汽车,not_observed,0,0,0,0,0,,0,0,0,本序列未观测到该类别，不能判断标注能力
253,运动骑自行车者,not_observed,0,0,0,0,0,,0,0,0,本序列未观测到该类别，不能判断标注能力
254,运动行人,annotated_instance,272,11306,11306,11233,73,5;6;7;8;9;12;13;14,8,7,1,按原始类别和非零编号关联；世界几何证据见 summary.json，未自动认证固定性
255,运动骑摩托车者,annotated_instance,71,1705,1705,1705,0,6,1,1,0,按原始类别和非零编号关联；世界几何证据见 summary.json，未自动认证固定性
256,运动轨道车辆,not_observed,0,0,0,0,0,,0,0,0,本序列未观测到该类别，不能判断标注能力
257,运动公共汽车,not_observed,0,0,0,0,0,,0,0,0,本序列未观测到该类别，不能判断标注能力
258,运动卡车,not_observed,0,0,0,0,0,,0,0,0,本序列未观测到该类别，不能判断标注能力
259,运动其他车辆,not_observed,0,0,0,0,0,,0,0,0,本序列未观测到该类别，不能判断标注能力
