因素,组,名称,定义,单位,统计内容,完成状态,统计组合数,边界
A01,覆盖,序列与扫描数量,逐冻结世界读取全部帧；前四帧为上下文；只统计段内合法五帧窗口,原始帧/序列,总帧数、首末帧号、文件完整性,已统计；支持不足留空,0,帧数不等于独立场景数
A02,覆盖,有效观测与零坐标槽,原始槽数、xyz非全零回波数及忽略标签数分别统计,原始帧/原始点,逐帧分位数、各类点数、占比,已统计；支持不足留空,10,零槽不作为实际回波；忽略点仍保留于完整输入
A03,状态,当前帧无异常,当前帧全部实际可见回波中sem=2数量为零，不限距离,全部原始帧,每序列计数、比例、连续长度,已统计；支持不足留空,4,这是无异常回波，不等于世界绝无异常物体
A04,状态,当前帧有异常但无范围内异常,有实际异常回波，但2.5–50米内异常点为零,全部原始帧,帧数、占比、首末时刻,已统计；支持不足留空,3,不应记成已观测范围内漏检
A05,状态,当前帧极少点与合格状态,范围内异常点数为1–4或≥5；两类分开,全部帧；完整五帧区间另报,帧数、占比、异常点数,已统计；支持不足留空,6,统计画像不能只保留官方合格帧
A06,状态,整窗无异常,五帧所有实际异常回波数量之和为零,t≥4完整窗口,每序列计数与占比,已统计；支持不足留空,1,生成正常训练窗口配比的直接参考
B01,几何,异常点数分布,当前帧范围内异常点数；全距离数量另列,帧；实例统计另列,0、1–4、5–19、20–99、100–499、≥500,已统计；支持不足留空,2,每帧异常总数不等于每个物体点数
B02,几何,异常距离分布,逐点真实距离及每帧异常距离中位数,点/帧/序列分别汇总,范围内四距离组；范围外单列；分位数,已统计；支持不足留空,3,中位数相近不等于逐点距离分布相同
B03,几何,点数×距离联合覆盖,沿用已有4×4网格，不合格状态另报,t≥4官方合格帧,每格帧数、异常点数、序列数及占比,已统计；支持不足留空,0,7格真实无数据不等于现实不可能
B04,几何,位置与方位,异常点/可见实例在当前LiDAR坐标中的xyz与角度,当前点/实例/序列,高度、方位、俯仰的分位数及固定分箱,已统计；支持不足留空,5,不可将传感器高度直接当离地高度
B05,几何,可见实例数与尺寸,以有效实例标签分组；统一用可见点估计尺寸,实例×帧,实例数；长宽高、比例、有效点数,已统计；支持不足留空,5,无有效实例ID标不可判定，不自动聚成一个物体
B06,几何,局部形态与采样疏密,可见异常邻距、固定半径邻居数、局部形态,点/实例×帧,分位数、估计失败率、点数条件,已统计；支持不足留空,5,稀疏估计须记录样本数，不将缺测填零
