id,category,title,year,venue,status,url,evidence_level,anchor,mechanism_zh,relation_zh,threat,read_date,fulltext_obtained,experiment_zh,limitation_zh,verification_note,current_reading_status,full_document_read,reading_scope,training_zh,scoring_zh,normal_only,synthetic,auxiliary_ood,normal_perception_zh,inference_cost_zh
R001,道路异常与直接竞争,Neural Distribution Prior for LiDAR Out-of-Distribution Detection,2026,CVPR,已发表,https://arxiv.org/html/2604.09232v2,所获全文完整通读,§1–5全部；补充§6–11全部；表1–11,输出分布先验矩阵以交叉注意力调整逐点熵、能量或正负分组能量；分割解码支路保留正常预测。,类别先验、长尾校正、语义保持都已有；本路线需要观测证据而非又一个分数重权。,高：不能声称首个学习正常先验改善LiDAR未知识别。,2026-09-25,true,STU验证AP74.24/AUROC99.53/FPR951.43；测试61.31/99.26/3.30。表4正常PQ52.37对基线52.73。,作者承认边界困难、未显式合成遮挡；审稿判断：并非正常数据单独学习，实验不能支持无合成设定。,本轮实际分块阅读原始全文后记录；全文统计覆盖所获文档全部学术内容及随文附录，独立补充的额外阅读见reading_scope；文献结果与基于机制的研究判断分别说明。,所获全文完整通读,true,§1–5全部；补充§6–11全部；表1–11,SemanticKITTI和Panoptic CUDAL预训练；目标域至多10轮；道路Perlin抬升合成及void软异常标签；异常权重10000。,静态分数乘可学习正权重；扩展能量比较总logsumexp与正常组logsumexp。,否,是：Perlin Raise,是：void软监督,保留正常全景输出；STU PQ52.73→52.37，SemanticKITTI60.72→59.38；近似保持但非完全无损。,单次分割附加轻量分数先验；本轮未核验完整同硬件时延表。
R002,道路异常与直接竞争,Relative Energy Learning for LiDAR Out-of-Distribution Detection,2026,ISPRS Journal of Photogrammetry and Remote Sensing 239:334–346,已发表；2025年预印本,https://arxiv.org/html/2511.06720v1,所获全文完整通读,§1–6全部；补充§7和表8–9全部,共享点编码器加2K输出的小异常支路，正负类别组相对能量消除整体logit平移；标准Mask4Former解码器保持正常分割。,联合语义与未知支路早有；可借鉴训练分数与推理分数一致、同时报告正常代价。,中高：能量差和保持闭集能力不是独立新颖贡献。,2026-09-25,true,STU验证AP10.68/AUROC97.85/FPR959.60；测试10.17/96.26/21.69；无合成void消融1.52/90.20/38.31。,复杂几何和边界仍难；正常PQ52.73降到48.98，不能把作者“无降级”描述当严格事实。,本轮实际分块阅读原始全文后记录；全文统计覆盖所获文档全部学术内容及随文附录，独立补充的额外阅读见reading_scope；文献结果与基于机制的研究判断分别说明。,所获全文完整通读,true,§1–6全部；补充§7和表8–9全部,SemanticKITTI与Panoptic CUDAL预训练；STU正常训练一序列30轮；路面径向压缩和抬高。,异常组与正常组logsumexp之差，实质分组softmax的异常/正常对数赔率。,否,是：Point Raise,无合成消融使用void，仍有辅助异常,保留全景输出；STU PQ52.73→48.98，SemanticKITTI60.72→59.09；正文无损措辞与表5不一致。,基础Mask4Former额外logits分组，推理不需合成；未提取完整时延。
R003,道路异常与直接竞争,Learning to Identify Out-of-Distribution Objects for 3D LiDAR Anomaly Segmentation,2026,CVPR,已发表,https://arxiv.org/html/2604.23604,所获全文完整通读,正文§1–6全部含表1–8；附录A–C全部（数据构建、全部实验与定性图注）,MinkowskiNet双线性头，正确正常点置信加权原型；原型余弦约束、跨类对比和正常特征范数约束联合学习。,最直接竞争：已经解决正常学习、类别解释、未知识别的总体问题；我们的额外价值应是独立几何观测检验弥补语义盲区。,极高：仅“正常类别原型＋异常分数”无法成立新颖性。,2026-09-25,true,STU验证AP27.53/AUROC95.05/FPR9534.86；测试14.99/93.67/34.29。表8完整模型AP高但FPR95劣于若干消融。 附录表14 STU验证0–10/10–20/20–30/30–40/40–50米AP40.77/44.07/5.51/0.21/0.02，30米后低于ensemble；表18nuScenes多异常LIDO10.53/87.25/44.51劣于同骨干maxlogit12.11/90.10/38.73。,nuScenes正常mIoU72.75降至60.61，稀疏数据和原型不足；特征小范数未知假设无普遍保证；整体结果不占所有指标最优。 r依据STU异常验证调节；原型收缩与稀有正常类识别存在直接损失，远距离不足。,本轮实际分块阅读原始全文后记录；全文统计覆盖所获文档全部学术内容及随文附录，独立补充的额外阅读见reading_scope；文献结果与基于机制的研究判断分别说明。,所获全文完整通读,true,正文§1–6全部含表1–8；附录A–C全部（数据构建、全部实验与定性图注）,STU模型只SemanticKITTI训练64轮；其合成数据仅用于另三基准评价，不能误归为合成训练。,原型余弦距离乘语义熵并按帧最大值归一；与范数低于正常半径的分数平均。,是：明确不使用void/异常训练,训练否；自建评测含ModelNet合成,无异常梯度训练；附录B.2明确使用STU异常验证集选择半径r（1–5，最终5），不能称异常开发也未接触。,STU正常验证mIoU36.75→35.14；nuScenes单异常72.75→60.61，多异常72.62→60.44。附录表12中仅原型约束使KITTI正常64.8→60.7，对比和objectosphere补至61.2。表19STU杆45.7→12.1、交通牌45.8→11.9；表22nuScenes自行车40.2→5.1。,附录表13同A40：LIDO在KITTI/POSS/nuScenes/STU为87/75/38/90ms；Mask4Former为348/315/168/392ms。正文38ms是nuScenes，不能称STU38ms。
R004,道路异常与直接竞争,Counterfactual Occlusion-Aware Learning via Visibility Intervention for LiDAR Anomaly Detection,2026,ICML,会议录用已由ICML及作者官方页面核实；原PDF直接获取受阻,https://openreview.net/pdf?id=Hly2QYcuLW,有限原始资料；未完成全文方法核验,仅官方 PDF 搜索索引第 3 页及摘要；全文受访问校验阻挡,已读官方索引明确描述：从训练集 thing 实例构造物理一致扰动，在同一几何和异常原因下保留或移除被遮挡背景，形成可见性不同的成对观测。摘要提出缺失区域重建与共同可见区域一致性。完整损失和推理公式尚未核读。,必须重点比对的最近工作，已直接覆盖 LiDAR 遮挡、物理一致合成、成对可见性干预；应避免把这些宽泛概念宣称首次。,极高且未消除：需要完整方法确认具体重叠。,2026-09-24,false,摘要宣称在标准 LiDAR 异常基准评估，但本轮未取得完整实验章节，不能核定具体训练范围、对照条件或表格数值。,主要局限是本次证据不足；不能从摘要推断其与当前模型结构等价，也不能排除其覆盖当前差异。,已尝试原始出版方、作者页和替代全文入口；未把搜索索引、摘要或二手复述算作完整方法阅读。,本轮未取得可核验全文,false,历史阅读范围见原anchor与read_date；本轮未重新通读,,,,,,,
R005,道路异常与直接竞争,Spotting the Unexpected (STU): A 3D LiDAR Dataset for Anomaly Segmentation in Autonomous Driving,2025,CVPR,已发表,https://arxiv.org/html/2505.02148,所获全文完整通读,§1–5及补充§6–12全部；含逐距离、点数、标签及训练说明,定义与正常训练不重叠的道路物体异常，提供LiDAR逐点和实例标注；把图像异常评分迁至Mask4Former。,是研究问题的现实依据：正常类别性能与异常识别会分离；须精确遵循正常/忽略边界。,高：高置信语义错误动机、正常数据域适应与三指标已明确提出。,2026-09-25,true,测试集成AP5.17/AUROC86.74/FPR9558.05；正常目标域训练提升PQ，但陌生物体仍被高置信归入正常。,二分类语义异常不等于全场景危险；其他物体和nuScenes debris/pushable刻意不与目标异常重合；严重小目标/距离不平衡。,本轮实际分块阅读原始全文后记录；全文统计覆盖所获文档全部学术内容及随文附录，独立补充的额外阅读见reading_scope；文献结果与基于机制的研究判断分别说明。,所获全文完整通读,true,§1–5及补充§6–12全部；含逐距离、点数、标签及训练说明,SemanticKITTI、Panoptic CUDAL和STU正常训练序列联合训练；另一正常序列验证；19异常验证/51测试。,最大logit、MC dropout、三模型集成、void分类与RbA；50米内、实例至少5点。,基准，区分正常训练与void辅助基线,目标异常为真实采集含人为摆放，并非数字合成,void分类器使用辅助未知,基准模型保留19类全景语义；PQ提升不保证未知识别，加入目标正常域训练后高置信未知错误仍大量存在。,MC采样50次解码，集成3模型；参数/性能成本需同骨干比较。
R006,道路异常与直接竞争,Open-world Semantic Segmentation for LIDAR Point Clouds,2022,ECCV,已发表,https://arxiv.org/html/2207.01452,所获全文完整通读,正文§1–6全部；表1–5,扩展冗余分类头表示未知，未知合成和去掉真类后的未知次高校准；随后用伪旧类标签增量学习。,开放世界分割与知识增量边界清晰；本项目只研究未知识别，不应扩成增量学习。,中：联合已知分类/未知拒识框架已成熟。,2026-09-25,true,SemanticKITTI AUPR20.8/AUROC84.9；nuScenes21.2/84.5；无合成仅校准消融10.0/77.5（KITTI）。,留类评测与STU真正未见物体不同；未知点忽略标签仍出现训练输入；缩放并不能普遍证明语义发生变化。,本轮实际分块阅读原始全文后记录；全文统计覆盖所获文档全部学术内容及随文附录，独立补充的额外阅读见reading_scope；文献结果与基于机制的研究判断分别说明。,所获全文完整通读,true,正文§1–6全部；表1–5,Cylinder3D；SemanticKITTI留出other-vehicle，nuScenes留出4类；正常车缩放0.25–0.5或1.5–3倍为未知。,冗余头最大输出作未知分数，正常头负责原正常类别。,否,是：将已知物体缩放作未知,未知类训练点仍作为忽略输入出现,SemanticKITTI正常mIoU58.0→57.8，nuScenes58.7→56.8；有退化。,额外冗余分类头；合成0.5–4ms是训练数据生成成本，不等于整网推理延迟。
R007,道路异常与直接竞争,Open-Set Semantic Segmentation for Point Clouds via Adversarial Prototype Framework,2023,CVPR,已发表,https://openaccess.thecvf.com/content/CVPR2023/papers/Li_Open-Set_Semantic_Segmentation_for_Point_Clouds_via_Adversarial_Prototype_Framework_CVPR_2023_paper.pdf,所获全文完整通读,PDF正文印刷页9425–9432全部；参考文献未逐条读；无附录,类别原型距离分类与拉近约束，GAN合成特征，筛选不像已知的特征后用对抗映射器塑造边界。,可学习原型、距离拒识、保持语义早已明确实现。,高：现模型原型部分与此有直接方法邻近。,2026-09-25,true,KITTI AUPR36.1/AUROC85.6/mIoU57.3；S3DIS31.6/90.0/69.3；多原型反而可降低效果。,未知聚于中心是模型假设而非普遍规律；生成异常特征仍属合成异常，不能以无外部数据归作纯正常。,本轮实际分块阅读原始全文后记录；全文统计覆盖所获文档全部学术内容及随文附录，独立补充的额外阅读见reading_scope；文献结果与基于机制的研究判断分别说明。,所获全文完整通读,true,PDF正文印刷页9425–9432全部；参考文献未逐条读；无附录,先正常原型训练，再冻结骨干训练GAN和映射器；KITTI留出other-vehicle，S3DIS留出窗/沙发。,到所有正常原型的距离和作未知度，依据未知特征聚于中心的假设；最近原型给正常类别。,否：使用特征层伪异常,是：GAN生成未知特征,无额外真实OOD,KITTI正常mIoU58.0→57.3，S3DIS69.8→69.3；轻微下降。,训练有GAN和对抗映射；推理原型距离，正文未核定整网时延。
R008,道路异常与直接竞争,LiON: Learning Point-Wise Abstaining Penalty for LiDAR Outlier DetectioN Using Diverse Synthetic Data,2025,AAAI,已发表；2023年预印本,https://arxiv.org/html/2309.10230v3,所获全文完整通读,HTML正文所有节至Conclusion全文；无附录覆盖,从选择性分类解释拒识，用点级能量控制拒绝代价、分合成来源的可学习间隔；物体插入遵循角采样和遮挡。,应借鉴按保留正常预测比例衡量剩余错误，而不仅三分数；不继承其合成监督。,中高：同时正常语义与拒识、点级拒识学习已存在。,2026-09-25,true,KITTI AUPR44.68/AUROC92.69；nuScenes31.58/95.24；7帧/秒3090；仅ShapeNet29.14低于仅缩放41.82。,多数未知是留出的常见类别；缩放引入密度捷径；移植多样性并非必然带来更高三个指标。,本轮实际分块阅读原始全文后记录；全文统计覆盖所获文档全部学术内容及随文附录，独立补充的额外阅读见reading_scope；文献结果与基于机制的研究判断分别说明。,所获全文完整通读,true,HTML正文所有节至Conclusion全文；无附录覆盖,Cylinder3D；KITTI/nuScenes留类协议；现有物体缩放与ShapeNet同时监督。,额外未知类概率；正常类别预测与拒识联合；报告风险—覆盖曲线。,否,是：ShapeNet移植及正常物体缩放,是：外部ShapeNet,KITTI正常mIoU58.00→57.56，nuScenes58.70→59.11；显示某数据可联合改善，依赖合成与ShapeNet。,推理弃权分数轻量；训练合成额外成本，正文未核定整网时延。
R009,道路异常与直接竞争,DOODLE: Diffusion-based Out-of-Distribution Learning for Open-set LiDAR Semantic Segmentation,2026,WACV,已发表,https://openaccess.thecvf.com/content/WACV2026/papers/Oh_DOODLE_Diffusion-based_Out-of-Distribution_Learning_for_Open-set_LiDAR_Semantic_Segmentation_WACV_2026_paper.pdf,所获全文完整通读,正文§1–5及全部实验/消融，附录未单独获取,正常语义特征投影到距离图，经VQ-VAE压缩后做距离和强度条件扩散；比较原始与去噪后的类别分布，放大基础异常分数。,LiDAR正常重建与语义差异检查已有；当前方法需强调对留出的物理观测进行条件检验及正常单独训练。,很高：仅正常重建辅助异常分割已不能构成独立贡献。,2026-09-25,true,SemanticKITTI AP46.53/AUROC93.98，相对LiON44.68/92.69；nuScenes33.95/95.26，相对31.58/95.24。去掉密度处理AP45.20。,无STU结果；单次0.7655秒；最小40点簇及密度抑制可能损害稀疏小异常。PDF个别公式符号未完整提取，不声称逐符号核验。,本轮实际分块阅读原始全文后记录；全文统计覆盖所获文档全部学术内容及随文附录，独立补充的额外阅读见reading_scope；文献结果与基于机制的研究判断分别说明。,所获全文完整通读,true,正文§1–5及全部实验/消融，附录未单独获取,正常点训练扩散；潜变量16维，1024扩散步；真实推理t=1去噪并5次集成。,预测类别分布交叉熵差异；另用距离补偿的HDBSCAN密度处理，低密度簇乘0.4。,整体否；正常扩散支路是,基础REAL/LiON使用合成异常,沿用基础方法，可能含ShapeNet,保留基础语义预测并用重建分布修正异常，正文未给正常mIoU同骨干前后表。,5次噪声重建集成＋密度聚类，报告0.7655秒级；精确不同配置成本应对应正文表。
R010,道路异常与直接竞争,Out-of-Distribution Detection in LiDAR Semantic Segmentation Using Epistemic Uncertainty from Hierarchical GMMs,2025,arXiv,预印本；未核实后续正式发表,https://arxiv.org/html/2510.08631,所获全文完整通读,正文§1–5全部，表1及全部图示文字,每类别两分量GMM联合判别训练；对均值/方差建层次贝叶斯后验，用20次GMM参数采样的类别投票熵估计认知不确定性。,直接竞争正常分布＋语义＋可信度，且明确区分困难正常与真正未知。,高：不能把“分离两类不确定性”笼统声称新。,2026-09-25,true,KITTI AP37.67/AUROC91.06/FPR9540.14，mIoU57.71；GMM确定版本26.14/87.62/48.84。,仍把正常边界/细杆/骑行者误判未知；贝叶斯仅头部参数，未包含骨干不确定；无STU实验。,本轮实际分块阅读原始全文后记录；全文统计覆盖所获文档全部学术内容及随文附录，独立补充的额外阅读见reading_scope；文献结果与基于机制的研究判断分别说明。,所获全文完整通读,true,正文§1–5全部，表1及全部图示文字,SalsaNext32维特征、SemanticKITTI19类正常训练；空范围像素排除评价。,类别投票频率熵；前5%阈值只用于图示，正式AUROC/AP/FPR95扫分数。,是：语义监督正常类别,否,否,报告正常mIoU57.71为比较中最佳，作者归因GMM样本投票；仅特定KITTI其他物体协议，非STU验证。,20次GMM分类头采样，共享一次骨干，比整网集成省但非完全无采样。
