文件,内容,数据行数,统计范围与解释
factors.csv,31项要素的定义、结果和完成状态,31,原用户要素定义保留；统计结果来自全部公开真实观测。尺寸、地面和局部形态同时记录支持不足的缺失，物理属性不补猜。
prior_sequences.csv,与既有报告复核一致的19条序列计数,19,全部原始帧；有异常但不合格包括范围外和范围内1至4点。比例直接写入数值，未保留电子表格公式。
sequences.csv,19条序列核心因素,19,静态因素使用全部原始帧；窗口因素使用当前帧4至末。强度、距离按点，尺寸按有效实例×帧，混合按指定体素，其余中位数按帧；比例均为0至1的小数。
totals.csv,全量计数及明确分母,29,比例为分子除以分母；计数无适用分母时留空。各范围互不替代。
count_distance.csv,完整五帧合格子集的16格联合分布,16,"1,956帧、87,398异常点；空格保留。边缘合计由对应行求和，CSV不混入第二组表头。"
prior_intensity.csv,历史303个条件窗口的强度统计,2,"来自14条序列303窗，保留原报告舍入数值和分位数定义；不能替代全量19条。原始当前正常点31,233,470，异常点10,546。"
continuous.csv,连续因素：分位数、覆盖与可靠性,6255,分位数由各权重的完整经验分布计算。区间宽度为0时为精确值；非零时点值展示区间中点，上下界另列。缺失率以未加权候选数为分母，三种视图不混用。
categorical.csv,分类因素：完整类别及零覆盖,43337,类别原始计数在三种视图相同；比例按对应权重计算。五位模式由最早扫描到当前扫描排列。全部体素成员编码为正常1、异常2、忽略4的位和。
bins.csv,连续因素固定分箱,55603,"区间左闭右开；末区间包含右端。普通距离直方图[50,无穷)不能解读为严格大于50米；官方范围标记与2.5米强度距离组均将50米纳入范围内。计数为未加权数，比例按对应权重计算。"
intensity.csv,全量原始强度及离散取值,123,每个源帧只计一次，包含全部距离。重复值比例指落在出现次数至少为2的精确取值上的点比例；极值仅为样本极值。网格关系是实测格式特征，不能称为硬件规格。
patterns.csv,五位可见模式和体素扫描命中,4674,最左为历史最早扫描，最右为当前扫描。类别可见模式按全距离异常回波存在性；体素命中按全部输入点。32类均保留；命中位数可用于汇总1至5次观测的频数。
pattern_support.csv,按固定可见模式分组的五帧异常支持量,640,完整五帧窗口；源帧全距离异常点数逐槽统计，包含实测零。各序列及全局按窗口等权；模式为空时覆盖数为0。00000没有定义历史异常点占比，不将空分母置零。
frames.csv,"全部8,659帧：状态、点数及强度",8659,原始帧序号从0开始。状态0为无异常，1为仅范围外，2为范围内1至4点，3为范围内至少5点。强度分位数仅取本帧对应类别原始回波；无回波时留空。阶段是类别回波观测状态，不是物体物理出现或消失。
windows.csv,"8,583个完整五帧窗口",8583,体素由所有实际输入点共同建立，再按语义事后统计。正常、异常、忽略成员均保留。历史支持是类别支持，不能解读为同一物体点的跨帧匹配。
startup.csv,76个启动窗口单列,76,缺少的历史槽为空，不是零点扫描；所有已到达点按原始启动路径构造体素。本页不并入完整五帧窗口分布。
instances.csv,"4,729条有效正实例标识的实例×帧记录",4729,尺寸是本帧LiDAR坐标轴下可见点的水平长短边和竖向跨度；至少10个不同坐标点。非完整物理尺寸或朝向框。正实例标识按序列隔离；另有1个零标识异常点保留于逐帧和逐点记录，未强行分组。
stages.csv,619段连续回波观测阶段,619,同一物体的稀疏回波可导致多次类别可见中断。左截断表示段开始于序列首帧，右截断表示段结束于序列末帧；均不能推断真实物理起止。长度单位为帧。
joints.csv,固定联合条件与共同覆盖量,228,"一般点数编码0/1/2/3/4/5对应0、1至4、5至19、20至99、100至499、至少500；合格表点数编码0至3从5至19起。距离0至3对应[2.5,10)、[10,20)、[20,35)、[35,50]；unseen和outside_only单列。混合0为0，1为(0,0.25]，2为(0.25,0.75]，3为大于0.75。平移边界0.1/0.5/1/2/5米。"
reliability.csv,可靠性不足与不可观测边界,6,缺测表示定义不适用、观测支持不足或真值缺少，不是零。阈值在原始统计执行前确定，未根据模型预测或评价成绩选择。
