因素,组,因素或联合条件,206训练,201合成验证,真实开发,覆盖与可靠性,差异类型,可调整环节,解释边界
A01,覆盖,序列与扫描数量,原始背景序列1；版本4；世界或序列4；帧1796；完整窗1780,原始背景序列1；版本2；世界或序列2；帧1364；完整窗1356,原始背景序列19；版本不适用；世界或序列19；帧8659；完整窗8583,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,固定背景限制,增加世界数不能增加原始道路数,帧数不等于独立场景数
A02,覆盖,有效观测与零坐标槽,实际回波数(全部): P5/P25/P50/P75/P95=118879/123529/126361/126898/128754；有效1796/1796，1796帧，4世界或序列；忽略点占回波比例(全部): P5/P25/P50/P75/P95=0.00566769/0.00812532/0.0113902/0.0180059/0.114639；有效1796/1796，1796帧，4世界或序列,实际回波数(全部): P5/P25/P50/P75/P95=102458/110982/116154/119021/122603；有效1364/1364，1364帧，2世界或序列；忽略点占回波比例(全部): P5/P25/P50/P75/P95=0.0307547/0.0788747/0.226669/0.595956/0.994876；有效1364/1364，1364帧，2世界或序列,实际回波数(全部): P5/P25/P50/P75/P95=100210/111579/116092/118068/123344；有效8659/8659，8659帧，19世界或序列；忽略点占回波比例(全部): P5/P25/P50/P75/P95=0.0134516/0.0629445/0.122147/0.266652/0.961963；有效8659/8659，8659帧，19世界或序列,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,采样或观测过程；片段边界截断单列,零槽不作为实际回波；忽略点仍保留于完整输入
A03,状态,当前帧无异常,四态0=929/1796=51.726058%,四态0=877/1364=64.296188%,四态0=5114/8659=59.059938%,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,采样或观测过程；片段边界截断单列,这是无异常回波，不等于世界绝无异常物体
A04,状态,当前帧有异常但无范围内异常,四态1=32/1796=1.781737%,四态1=71/1364=5.205279%,四态1=465/8659=5.370135%,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,采样或观测过程；片段边界截断单列,不应记成已观测范围内漏检
A05,状态,当前帧极少点与合格状态,四态2=143/1796=7.962138%；四态3=692/1796=38.530067%,四态2=157/1364=11.510264%；四态3=259/1364=18.988270%,四态2=1120/8659=12.934519%；四态3=1960/8659=22.635408%,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,采样或观测过程；片段边界截断单列,统计画像不能只保留官方合格帧
A06,状态,整窗无异常,822/1780=46.179775%；覆盖4个世界或序列,665/1356=49.041298%；覆盖2个世界或序列,4355/8583=50.739835%；覆盖19个世界或序列,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,已有覆盖但频率不匹配,采样或训练权重；保留异常条件覆盖,生成正常训练窗口配比的直接参考
B01,几何,异常点数分布,范围内异常点数(全部): P5/P25/P50/P75/P95=0/0/0/14/336；有效1796/1796，1796帧，4世界或序列,范围内异常点数(全部): P5/P25/P50/P75/P95=0/0/0/2/19；有效1364/1364，1364帧，2世界或序列,范围内异常点数(全部): P5/P25/P50/P75/P95=0/0/0/3/55；有效8659/8659，8659帧，19世界或序列,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,几何、放置或观测过程；先核对可靠性,每帧异常总数不等于每个物体点数
B02,几何,异常距离分布,逐点距离(全部): P5/P25/P50/P75/P95=3.47991/4.74138/7.24643/8.14079/18.7002；有效70829/70829，867帧，4世界或序列；每帧全距离异常距离中位数(全部): P5/P25/P50/P75/P95=5.14585/9.92153/16.7398/30.661/46.789；有效867/1796，867帧，4世界或序列,逐点距离(全部): P5/P25/P50/P75/P95=12.6373/13.514/15.6669/23.0648/34.5994；有效4463/4463，487帧，2世界或序列；每帧全距离异常距离中位数(全部): P5/P25/P50/P75/P95=12.9788/16.1546/27.1464/37.3246/156.018；有效487/1364，487帧，2世界或序列,逐点距离(全部): P5/P25/P50/P75/P95=4.41734/5.51707/6.76092/10.6241/26.6418；有效90739/90739，3545帧，19世界或序列；每帧全距离异常距离中位数(全部): P5/P25/P50/P75/P95=5.66595/12.4045/23.7875/37.4498/66.5136；有效3545/8659，3545帧，19世界或序列,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,几何、放置或观测过程；先核对可靠性,中位数相近不等于逐点距离分布相同
B03,几何,点数×距离联合覆盖,合格帧690；异常点70380；覆盖格10/16,合格帧258；异常点3992；覆盖格5/16,合格帧1956；异常点87398；覆盖格9/16,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,共同覆盖与空格并存，逐格判定,采样或世界生成；见联合条件对照,7格真实无数据不等于现实不可能
B04,几何,位置与方位,前向坐标(全部): P5/P25/P50/P75/P95=-7.47478/-6.63912/0.723819/6.15813/14.393；有效70829/70829，867帧，4世界或序列；方位角(全部): P5/P25/P50/P75/P95=0.140965/0.466328/1.29501/2.72469/2.82917；有效70829/70829，867帧，4世界或序列,前向坐标(全部): P5/P25/P50/P75/P95=-27.6649/-8.82392/-0.0899491/3.12536/18.2571；有效4463/4463，487帧，2世界或序列；方位角(全部): P5/P25/P50/P75/P95=-2.60097/-1.60162/-1.3431/1.43613/3.01873；有效4463/4463，487帧，2世界或序列,前向坐标(全部): P5/P25/P50/P75/P95=-17.3929/-5.13208/4.84226/7.46415/19.3366；有效90739/90739，3545帧，19世界或序列；方位角(全部): P5/P25/P50/P75/P95=-3.06157/-0.392151/-0.0550548/0.147615/2.78011；有效90739/90739，3545帧，19世界或序列,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,几何、放置或观测过程；先核对可靠性,不可将传感器高度直接当离地高度
B05,几何,可见实例数与尺寸,可见水平长边(全部): P5/P25/P50/P75/P95=0.252501/0.631048/0.783296/0.883785/0.942345；有效536/867，536帧，4世界或序列；可见水平短边(全部): P5/P25/P50/P75/P95=0.16769/0.2971/0.464468/0.595579/0.708746；有效536/867，536帧，4世界或序列；可见竖向跨度(全部): P5/P25/P50/P75/P95=0.171846/0.301108/0.657869/0.855979/0.90851；有效536/867，536帧，4世界或序列,可见水平长边(全部): P5/P25/P50/P75/P95=0.356431/0.512963/0.563752/0.604673/0.704095；有效170/487，170帧，2世界或序列；可见水平短边(全部): P5/P25/P50/P75/P95=0.206761/0.258094/0.311228/0.384739/0.450691；有效170/487，170帧，2世界或序列；可见竖向跨度(全部): P5/P25/P50/P75/P95=0.263729/0.354998/0.420855/0.556183/0.702164；有效170/487，170帧，2世界或序列,可见水平长边(全部): P5/P25/P50/P75/P95=0.200817/0.384369/0.528245/0.795876/0.947136；有效1611/4729，1373帧，19世界或序列；可见水平短边(全部): P5/P25/P50/P75/P95=0.112789/0.219485/0.33268/0.570341/0.846543；有效1611/4729，1373帧，19世界或序列；可见竖向跨度(全部): P5/P25/P50/P75/P95=0.0759664/0.16197/0.224853/0.360583/0.614381；有效1611/4729，1373帧，19世界或序列,"206训练:实例帧867，形状{'fewer_than_10_distinct_returns': 331, 'reliable_visible_extent': 536}，地面{'fewer_than_20_ground_returns': 265, 'local_plane_proxy': 568, 'plane_fit_or_spatial_support_unreliable': 34}，未知身份点0；201合成验证:实例帧487，形状{'fewer_than_10_distinct_returns': 317, 'reliable_visible_extent': 170}，地面{'fewer_than_20_ground_returns': 364, 'local_plane_proxy': 54, 'no_ground_support': 1, 'plane_fit_or_spatial_support_unreliable': 68}，未知身份点0；真实开发:实例帧4729，形状{'fewer_than_10_distinct_returns': 3118, 'reliable_visible_extent': 1611}，地面{'fewer_than_20_ground_returns': 1469, 'insufficient_plane_inliers': 26, 'local_plane_proxy': 2202, 'plane_fit_or_spatial_support_unreliable': 1032}，未知身份点1",观测分布或可靠性差异；不作因果归因,几何、放置或观测过程；先核对可靠性,无有效实例ID标不可判定，不自动聚成一个物体
B06,几何,局部形态与采样疏密,同实例最近邻距(全部): P5/P25/P50/P75/P95=0.0192603/0.0286299/0.0431272/0.0566614/0.128097；有效70785/70829，823帧，4世界或序列,同实例最近邻距(全部): P5/P25/P50/P75/P95=0.0772005/0.0881226/0.110053/0.150122/0.236992；有效4360/4463，384帧，2世界或序列,同实例最近邻距(全部): P5/P25/P50/P75/P95=0.0247243/0.0331276/0.0435247/0.072195/0.176823；有效89684/90739，2903帧，19世界或序列,"206训练:实例帧867，形状{'fewer_than_10_distinct_returns': 331, 'reliable_visible_extent': 536}，地面{'fewer_than_20_ground_returns': 265, 'local_plane_proxy': 568, 'plane_fit_or_spatial_support_unreliable': 34}，未知身份点0；201合成验证:实例帧487，形状{'fewer_than_10_distinct_returns': 317, 'reliable_visible_extent': 170}，地面{'fewer_than_20_ground_returns': 364, 'local_plane_proxy': 54, 'no_ground_support': 1, 'plane_fit_or_spatial_support_unreliable': 68}，未知身份点0；真实开发:实例帧4729，形状{'fewer_than_10_distinct_returns': 3118, 'reliable_visible_extent': 1611}，地面{'fewer_than_20_ground_returns': 1469, 'insufficient_plane_inliers': 26, 'local_plane_proxy': 2202, 'plane_fit_or_spatial_support_unreliable': 1032}，未知身份点1",观测分布或可靠性差异；不作因果归因,几何、放置或观测过程；先核对可靠性,稀疏估计须记录样本数，不将缺测填零
B07,几何,扫描角度覆盖与缺口,可见方位角跨度(全部): P5/P25/P50/P75/P95=0.0186987/0.0306796/0.0491125/0.0859029/0.178538；有效536/867，536帧，4世界或序列,可见方位角跨度(全部): P5/P25/P50/P75/P95=0.0184078/0.0246876/0.0309995/0.0376337/0.0437784；有效170/487，170帧，2世界或序列,可见方位角跨度(全部): P5/P25/P50/P75/P95=0.0238927/0.0309516/0.0433896/0.0680264/0.16584；有效1611/4729，1373帧，19世界或序列,"206训练:实例帧867，形状{'fewer_than_10_distinct_returns': 331, 'reliable_visible_extent': 536}，地面{'fewer_than_20_ground_returns': 265, 'local_plane_proxy': 568, 'plane_fit_or_spatial_support_unreliable': 34}，未知身份点0；201合成验证:实例帧487，形状{'fewer_than_10_distinct_returns': 317, 'reliable_visible_extent': 170}，地面{'fewer_than_20_ground_returns': 364, 'local_plane_proxy': 54, 'no_ground_support': 1, 'plane_fit_or_spatial_support_unreliable': 68}，未知身份点0；真实开发:实例帧4729，形状{'fewer_than_10_distinct_returns': 3118, 'reliable_visible_extent': 1611}，地面{'fewer_than_20_ground_returns': 1469, 'insufficient_plane_inliers': 26, 'local_plane_proxy': 2202, 'plane_fit_or_spatial_support_unreliable': 1032}，未知身份点1",观测分布或可靠性差异；不作因果归因,几何、放置或观测过程；先核对可靠性,未经光束校准仅报角度，不伪造beam/ring ID
C01,强度,逐点强度,原始逐点强度(正常): P5/P25/P50/P75/P95=0.03/0.0974286/0.191429/0.346571/0.639714；有效218977353/218977353，1796帧，4世界或序列；原始逐点强度(异常): P5/P25/P50/P75/P95=0.151143/0.314571/0.472857/0.602857/0.917143；有效70829/70829，867帧，4世界或序列,原始逐点强度(正常): P5/P25/P50/P75/P95=0.0277143/0.0745714/0.153143/0.312286/0.609143；有效99591068/99591068，1364帧，2世界或序列；原始逐点强度(异常): P5/P25/P50/P75/P95=0.0477143/0.140857/0.197714/0.28/0.364286；有效4463/4463，487帧，2世界或序列,原始逐点强度(正常): P5/P25/P50/P75/P95=0.0282857/0.115714/0.238/0.438286/0.773143；有效744037182/744037182，8659帧，19世界或序列；原始逐点强度(异常): P5/P25/P50/P75/P95=0.01/0.0651429/0.171714/0.326857/0.608286；有效90739/90739，3545帧，19世界或序列,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,强度生成；当前不优先,子集不能推广为全部19条分布
C02,强度,离散网格、零值与边界,正常零强度0.000000%；k/3500精确匹配100.000000%；重复取值点100.000000%；异常零强度0.000000%；k/3500精确匹配100.000000%；重复取值点99.236189%；忽略零强度0.000000%；k/3500精确匹配100.000000%；重复取值点100.000000%,正常零强度0.000000%；k/3500精确匹配100.000000%；重复取值点100.000000%；异常零强度0.000000%；k/3500精确匹配100.000000%；重复取值点94.331167%；忽略零强度0.000000%；k/3500精确匹配100.000000%；重复取值点100.000000%,正常零强度0.000000%；k/3500精确匹配100.000000%；重复取值点99.999981%；异常零强度0.000000%；k/3500精确匹配100.000000%；重复取值点99.563583%；忽略零强度0.000000%；k/3500精确匹配100.000000%；重复取值点99.999976%,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,强度生成；当前不优先,不是官方硬件量化规格；不对输入吸附
C03,强度,强度×逐点距离,63个原有逐点距离×类别条件；全量连续统计保留各组原始、帧、世界或序列权重,63个原有逐点距离×类别条件；全量连续统计保留各组原始、帧、世界或序列权重,63个原有逐点距离×类别条件；全量连续统计保留各组原始、帧、世界或序列权重,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,强度生成；当前不优先,均值离开离散网格不算格式错误
C04,强度,异常/邻近背景强度对比,异常强度减邻域正常均值(全部): P5/P25/P50/P75/P95=0.0113284/0.113102/0.217321/0.346795/0.653481；有效30851/70829，584帧，4世界或序列；邻域正常强度方差(全部): P5/P25/P50/P75/P95=9.36235e-05/0.000657067/0.0028321/0.00626909/0.011893；有效30851/70829，584帧，4世界或序列,异常强度减邻域正常均值(全部): P5/P25/P50/P75/P95=0.0507143/0.0998413/0.181571/0.246952/0.33298；有效1247/4463，102帧，2世界或序列；邻域正常强度方差(全部): P5/P25/P50/P75/P95=3.97279e-06/1.45173e-05/2.5161e-05/5.23674e-05/0.000189932；有效1247/4463，102帧，2世界或序列,异常强度减邻域正常均值(全部): P5/P25/P50/P75/P95=-0.05924/0.00599605/0.102421/0.244024/0.49596；有效68155/90739，2029帧，19世界或序列；邻域正常强度方差(全部): P5/P25/P50/P75/P95=5.64657e-05/0.000343926/0.00131338/0.00424954/0.0188928；有效68155/90739，2029帧，19世界或序列,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,强度生成；当前不优先,邻域及距离条件固定后计算
D01,背景,正常语义构成,建筑=91293208/218977353；植被=47677207/218977353；道路=36453800/218977353；围栏=14384140/218977353；树干=7423406/218977353,植被=32210510/99591068；人行道=21243201/99591068；道路=17845231/99591068；建筑=14151664/99591068；地形=4239339/99591068,道路=680620528/744037182；建筑=38170213/744037182；植被=14425421/744037182；围栏=4022793/744037182；汽车=3925091/744037182,全帧1796/1364/8659；完整窗1780/1356/8583；合成等权单位为世界，真实为序列，非独立道路配对,观测分布或可靠性差异；不作因果归因,几何、放置或观测过程；先核对可靠性,标签用于统计，不进入推理特征
